Feature,Linear Regression,Decision Tree,Random Forest,XGBoost,LightGBM
distance,0.1967219099966951,0.029428054401343995,0.0273928397048709,0.0064507336,26
flight_duration,1.4296556024856768,0.6307195899007066,0.6953509876165488,0.4665588,98
speed,1.8408204690278331,0.09864449300893616,0.07253615204734525,0.19439937,74
altitude,2.206428394399654,0.08053366272050458,0.05156956971484704,0.09057796,91
payload,1.8354870505402445,0.1034256297182212,0.0744323437688689,0.12619872,57
temperature,0.4055905839074184,0.012286600426046552,0.006492883976628308,0.01491297,14
humidity,0.05492389263771719,9.660784368557464e-05,0.0068464180228367645,0.011099877,13
wind_speed,0.8616927763562842,0.003177637372629095,0.010006149525491075,0.009836936,8
wind_gust,0.7406649202366865,0.011034403416391158,0.009246604143124377,0.023516752,3
wind_dir,0.16940898093761012,0.0020047050797879916,0.007060927324605427,0.0052426877,24
pressure,0.36978535767841186,0.00408391461178574,0.013878281392988332,0.020827033,13
cloud_cover,0.2841797707980568,0.008454898063833547,0.010426204538354878,0.024603419,5
relative_wind_angle,0.20578389908901823,0.01610980343612767,0.014760638223490044,0.005774617,18
