Feature,Linear Regression,Decision Tree,Random Forest,XGBoost,LightGBM
distance,0.15596719606842782,0.004807294691936054,0.031962179081266466,0.0032717069,45
speed,2.894654300508421,0.471426948304612,0.4719006060394984,0.47963232,95
altitude,2.8370581536597763,0.36443128383685064,0.3306193094803892,0.34403035,91
payload,1.824105893957345,0.11665306488838478,0.08132580078756237,0.11362593,60
temperature,0.3896096512456621,0.008179814493270347,0.010533638770285956,0.0090839425,25
humidity,0.15466833527830082,0.00273166896244899,0.0076668444502613845,0.006858961,19
wind_speed,0.6027018593245008,0.006968501255523956,0.009098421388619982,0.004780909,20
wind_gust,0.5628196437356783,0.011342194626093854,0.01231948168970311,0.028248565,12
wind_dir,0.1548141724889149,0.0018796964559732341,0.006754626539340888,0.0013846245,9
pressure,0.043687838609631824,0.003921895222942421,0.01631946403751519,0.0055798646,42
cloud_cover,0.10940616256604685,0.005038745061900559,0.007858854125998897,0.0015257978,15
relative_wind_angle,0.1398548084035364,0.0026188922000631464,0.013640773609558239,0.0019770549,36
